scenario,model,early_entropy,logprob_variance,mean_logprob,verbalized_final,confidence_gradient,n_steps,n_tool_calls,mcp_error_ratio,mcp_error_count,loop_ratio,n_unique_actions,reached_finish,obs_mean_len,obs_max_len,n_observations,usable_token,usable_verbalized,usable_structural,usable_mcp_error,usable_observation,y,verbalized_posthoc
engine_health_combined_022,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.033238951327189424,0.014997713224781805,-0.031803497689886606,,,8.0,8.0,,,0.25,2.0,0.0,102.125,331.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_023,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03621395776522068,0.024761191729275534,-0.0541541237441885,,,8.0,7.0,,,0.0,4.0,1.0,260.0,805.0,7.0,True,False,True,False,True,1,0.6
engine_health_combined_024,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03874294400686046,0.0165809816148627,-0.03900044694661648,,,8.0,7.0,,,0.0,4.0,1.0,198.0,560.0,7.0,True,False,True,False,True,1,0.6
engine_health_combined_025,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03277750245517697,0.010759254829897745,-0.027562971717837805,,,4.0,3.0,,,0.0,2.0,1.0,72.0,72.0,3.0,True,False,True,False,True,0,0.4
engine_health_combined_026,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06439344747323074,0.02802082688413138,-0.058334023899783705,,,8.0,8.0,,,0.125,4.0,0.0,281.25,641.0,8.0,True,False,True,False,True,1,0.6
engine_health_combined_027,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.036950820811026276,0.014932169750755082,-0.03381020821145465,,,8.0,8.0,,,0.125,1.0,0.0,136.5,333.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_028,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04152058655356072,0.01780313132692307,-0.03859408344443078,,,8.0,8.0,,,0.0,4.0,0.0,111.75,331.0,8.0,True,False,True,False,True,1,0.6
engine_health_combined_029,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03169407774835266,0.00893626042276773,-0.021017417248589368,,,8.0,8.0,,,0.625,2.0,0.0,108.625,321.0,8.0,True,False,True,False,True,0,0.0
engine_health_combined_030,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0461267747551817,0.011566232626674748,-0.025309464957464143,,,8.0,8.0,,,0.5,1.0,0.0,137.5,331.0,8.0,True,False,True,False,True,0,0.0
pdm_cost_benefit_001,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0326592496636478,0.012239764193733486,-0.028246418035210635,,,8.0,8.0,,,0.625,3.0,0.0,169.625,951.0,8.0,True,False,True,False,True,1,0.0
pdm_cost_benefit_002,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.04849903801883679,0.01052020571696143,-0.024773731975056706,,,8.0,8.0,,,0.375,4.0,0.0,97.625,313.0,8.0,True,False,True,False,True,0,0.4
pdm_cost_benefit_003,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.08450519358967008,0.021323752416012604,-0.04941342862445758,,,8.0,8.0,,,0.0,5.0,0.0,416.5,2283.0,8.0,True,False,True,False,True,1,0.4
pdm_cost_benefit_004,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03058884073325124,0.006194844687616758,-0.014439824106238338,,,8.0,8.0,,,0.625,3.0,0.0,85.125,310.0,8.0,True,False,True,False,True,0,0.0
pdm_cost_benefit_005,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.044132108811500134,0.010233469991360825,-0.023200158718973105,,,8.0,8.0,,,0.625,3.0,0.0,107.0,310.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_001,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07401095720874606,0.038981444959737745,-0.08300876702963642,,,5.0,4.0,,,0.2,3.0,1.0,69.75,94.0,4.0,True,False,True,False,True,0,0.0
pdm_fault_002,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07475799411188482,0.01491152366722845,-0.03384490707855058,,,8.0,8.0,,,0.5,2.0,0.0,101.125,357.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_003,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0869639938986249,0.021629121485165187,-0.045228526499178634,,,8.0,8.0,,,0.625,2.0,0.0,59.625,89.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_004,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03482372805916264,0.010026798352172333,-0.023446607902445113,,,8.0,8.0,,,0.625,2.0,0.0,69.5,111.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_005,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.05512002303402553,0.02015767645180546,-0.042637927996795104,,,8.0,8.0,,,0.75,1.0,0.0,109.875,354.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_006,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07434781971120959,0.041905528824359106,-0.09365092443265811,,,4.0,3.0,,,0.0,3.0,1.0,74.66666666666667,91.0,3.0,True,False,True,False,True,1,0.0
pdm_fault_007,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.08781890334279606,0.014613745898617645,-0.02947851211274054,,,8.0,7.0,,,0.375,3.0,1.0,130.42857142857142,220.0,7.0,True,False,True,False,True,0,0.0
pdm_fault_008,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06659589754216455,0.03251756025861909,-0.07308448772918297,,,8.0,8.0,,,0.125,3.0,0.0,66.625,98.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_009,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07845814843404245,0.0194475473294757,-0.03997337883996332,,,8.0,8.0,,,0.625,3.0,0.0,53.0,83.0,8.0,True,False,True,False,True,1,0.0
pdm_fault_010,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.05845717230018191,0.017553332301483413,-0.03693944735015562,,,8.0,8.0,,,0.375,3.0,0.0,95.375,313.0,8.0,True,False,True,False,True,1,0.6
pdm_fault_011,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.033976302214918375,0.014895222089598207,-0.0314166716272891,,,8.0,8.0,,,0.5,2.0,0.0,109.375,189.0,8.0,True,False,True,False,True,0,0.0
pdm_fault_012,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.046241957089152304,0.012681163840184563,-0.027519242385247212,,,8.0,8.0,,,0.375,2.0,0.0,114.75,237.0,8.0,True,False,True,False,True,0,0.0
pdm_fault_013,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0735219617461839,0.03406991870702011,-0.07565705022935655,,,3.0,2.0,,,0.0,3.0,1.0,82.0,103.0,2.0,True,False,True,False,True,0,0.0
pdm_fault_014,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.08937295602075761,0.030195943450925068,-0.06187360612974385,,,5.0,4.0,,,0.0,4.0,1.0,734.25,2735.0,4.0,True,False,True,False,True,1,0.6
pdm_fault_015,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06668268600360054,0.018119641971038936,-0.03854941909743889,,,8.0,8.0,,,0.75,2.0,0.0,83.125,105.0,8.0,True,False,True,False,True,0,0.0
pdm_rul_001,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.033484731936418315,0.009166616459362729,-0.020736542587731447,,,8.0,8.0,,,0.0,5.0,0.0,460.375,2283.0,8.0,True,False,True,False,True,0,0.4
pdm_rul_002,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03215798814525008,0.009248614608157573,-0.022460979536543513,,,8.0,8.0,,,0.625,2.0,0.0,65.875,95.0,8.0,True,False,True,False,True,0,0.0
pdm_rul_003,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.09164029619198667,0.04055200744530786,-0.09143973342078929,,,3.0,2.0,,,0.0,3.0,1.0,73.5,85.0,2.0,True,False,True,False,True,0,0.0
pdm_rul_004,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.05257920559127922,0.029710935879842953,-0.06817795759142153,,,8.0,8.0,,,0.125,5.0,0.0,82.0,310.0,8.0,True,False,True,False,True,0,0.6
pdm_rul_005,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07111205290400884,0.03513950473706074,-0.07689588628826068,,,8.0,7.0,,,0.2857142857142857,2.0,0.0,123.375,471.0,8.0,True,False,True,False,True,0,0.0
pdm_rul_006,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.063614051425209,0.014060489976345722,-0.03072146939116755,,,8.0,8.0,,,0.625,2.0,0.0,62.125,83.0,8.0,True,False,True,False,True,0,0.4
pdm_rul_007,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.039571555722094504,0.011786668375492812,-0.027550523167480613,,,8.0,8.0,,,0.125,4.0,0.0,369.0,2283.0,8.0,True,False,True,False,True,0,0.4
pdm_rul_008,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06847909407632433,0.02003830331763659,-0.041527365639656,,,8.0,8.0,,,0.75,2.0,0.0,53.25,83.0,8.0,True,False,True,False,True,0,0.0
pdm_rul_009,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.1049158901683032,0.01633515761655347,-0.03522369952403837,,,8.0,8.0,,,0.625,2.0,0.0,95.75,426.0,8.0,True,False,True,False,True,0,0.4
pdm_rul_010,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07598347522828851,0.01956155605716208,-0.04167811450978367,,,8.0,8.0,,,0.5,3.0,0.0,86.875,310.0,8.0,True,False,True,False,True,0,0.0
pdm_rul_011,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.0417980833080858,0.013582219867406464,-0.03247209515034862,,,6.0,5.0,,,0.0,4.0,1.0,556.8,2283.0,5.0,True,False,True,False,True,0,0.6
pdm_rul_012,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.08693556326974806,0.03655587118605809,-0.08693556326974806,,,2.0,1.0,,,0.0,2.0,1.0,151.0,151.0,1.0,True,False,True,False,True,0,0.4
pdm_rul_013,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.06049793656065684,0.022393272559765812,-0.04814087235395219,,,8.0,8.0,,,0.375,3.0,0.0,150.375,622.0,8.0,True,False,True,False,True,0,0.2
pdm_rul_014,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.03781857373486675,0.02589348076341227,-0.05950943559661686,,,8.0,8.0,,,0.125,5.0,0.0,108.75,310.0,8.0,True,False,True,False,True,0,0.4
pdm_rul_015,openai_meta-llama_Llama-3.3-70B-Instruct-Turbo,0.07334340212930267,0.021039167860207562,-0.046890951701152775,,,7.0,6.0,,,0.14285714285714285,4.0,1.0,475.6666666666667,2283.0,6.0,True,False,True,False,True,0,0.6
