model,n_feat,auroc,auroc_lo,auroc_hi,ece,ece_lo,ece_hi,p
Verbalized confidence (V1 `raw'),1,0.5324675324675325,0.5069444444444444,0.5625,0.20359281437125745,0.12874251497005987,0.27844311377245506,0.021989005497251374
Synthetic token features,2,0.44357864357864357,0.3478035015693945,0.5309821537231175,0.2095294237450218,0.1568929374687714,0.2924832804998666,0.8885557221389305
V1 feature vector $f(\tau)$,5,0.5896103896103897,0.5039224036086888,0.6744829398935667,0.13267399987412895,0.09309353217931213,0.21912748397887377,0.02498750624687656
Execution telemetry,7,0.5656565656565656,0.4791047098895936,0.6504027487572869,0.1548333312973963,0.10583094305248747,0.238342063005776,0.07446276861569215
Execution + clean observations,10,0.5457431457431458,0.4564052261678292,0.6304353984261978,0.1524374948975653,0.10308828817274662,0.23351634211909125,0.15342328835582209
Execution + grader-contaminated obs.,9,0.8805194805194805,0.8291685329610675,0.9252542813700385,0.06161074648326116,0.04724770646001751,0.1328079357386117,0.0004997501249375312
