model,n,success,auroc,lo,hi,ece
gpt-4o-mini,17,0.7058823529411765,0.5333333333333333,0.2380952380952381,0.8142857142857142,0.264240089706547
gpt-oss-120b,25,0.68,0.29044117647058826,0.06985294117647059,0.5606259968102073,0.2789963127248001
granite-4-h-small,25,0.48,0.7147435897435898,0.4791041666666666,0.9220779220779219,0.20224954836954245
llama-3.3-70b,25,0.36,0.5625,0.25,0.8676820728291315,0.3291330872861279
llama-4-maverick,25,0.64,0.5,0.2599338235294118,0.7381428571428569,0.22352458961956664
mistral-medium-2505,25,0.48,0.5769230769230769,0.3420753588516746,0.8051948051948051,0.2873130400471897
mistral-small-24b,25,0.48,0.5641025641025641,0.3246753246753247,0.7987012987012987,0.2227571290414384
