family,n_feat,auroc,lo,hi,ece,p,significant
token,3,0.51712,0.4422296689825749,0.5904622397438251,0.15335814448659552,0.33883058470764615,False
structural,5,0.40227999999999997,0.3297300154968433,0.48173703640971577,0.20820817199373937,0.9945027486256871,False
observation,3,0.5468000000000001,0.47074900785433854,0.6239823704306495,0.13243665445085653,0.11344327836081959,False
verbalized_posthoc,1,0.55408,0.4734815084029855,0.6325224855242759,0.03775358426821732,0.0879560219890055,False
all measured,12,0.50704,0.43348509132769153,0.5862627871850165,0.1370581754306034,0.4267866066966517,False
